11/16/2017 21:35:43 - 150003	C	569,-1,0,0,0,0,0,new_1-3
11/16/2017 21:35:44 - 150003	C	569,-1,0,0,0,0,0,new_1-3
11/16/2017 21:35:50 - 1184	M	914,-1,new_1-3
11/16/2017 21:35:51 - 150003	C	569,-1,0,0,0,0,0,new_1-3
11/16/2017 21:35:52 - 1113	L	909,1,0,0,0,0,0,new_1-3
11/16/2017 21:35:52 - 1113	L	935,1,0,0,0,0,0,new_1-3
11/16/2017 21:35:52 - 1113	L	914,1,0,0,0,0,0,new_1-3
11/16/2017 21:35:52 - 1113	L	909,1,0,0,0,0,0,new_1-3
11/16/2017 21:35:53 - 1113	L	512,1,0,0,0,0,0,new_1-3
11/16/2017 21:36:23 - 1113	M	909,-1,new_1-3
11/16/2017 21:36:23 - 1113	L	909,-1,0,0,0,0,0,new_1-3
11/16/2017 21:36:23 - 1113	L	512,-1,0,0,0,0,0,new_1-3
11/16/2017 21:36:24 - 150003	P	512,1,0,0,0,0,0,new_1-3
11/17/2017 11:44:19 - 1002	M	909,-1,prt_fild08
11/17/2017 11:44:31 - 1002	M	909,-1,prt_fild08
11/17/2017 11:44:31 - 1002	M	713,-1,prt_fild08
11/17/2017 11:44:35 - 1002	L	909,1,0,0,0,0,0,prt_fild08
11/17/2017 11:44:35 - 1002	L	713,1,0,0,0,0,0,prt_fild08
11/17/2017 11:44:53 - 1002	M	909,-1,prt_fild08
11/17/2017 11:44:53 - 1002	M	512,-1,prt_fild08
11/17/2017 11:44:53 - 1002	L	909,-1,0,0,0,0,0,prt_fild08
11/17/2017 11:44:53 - 1002	L	713,-1,0,0,0,0,0,prt_fild08
12/08/2018 16:07:18 - 150000	A	25010,1,payon
12/08/2018 16:29:32 - 150001	A	4142,1,payon
12/08/2018 16:29:34 - 150001	A	4142,1,payon
12/08/2018 16:30:41 - 150001	P	4142,-1,0,0,0,0,0,payon
12/08/2018 16:30:43 - 150002	P	4142,1,0,0,0,0,0,payon
12/08/2018 16:32:25 - 1002	M	909,-1,prt_fild02
12/08/2018 16:55:01 - 1008	M	915,-1,prt_fild02
12/08/2018 16:55:01 - 1008	M	938,-1,prt_fild02
12/15/2018 17:49:35 - 1002	M	909,-1,payon
12/15/2018 17:49:35 - 1002	M	512,-1,payon
12/15/2018 17:51:05 - 1002	M	909,-1,payon
12/15/2018 17:51:05 - 1002	M	713,-1,payon
12/15/2018 17:51:59 - 1002	L	909,1,0,0,0,0,0,payon
